city,pass_id,variant,n_cells,n_blocks,contributing_blocks,within_block_Sxx,within_block_variance,residualized_canopy_Sxx,maximum_block_information_share,top_five_block_information_share,effective_information_blocks,maximum_raw_block_information_share,design_rank,residual_degrees_of_freedom,removed_context_terms,bootstrap_requested,bootstrap_estimable,bootstrap_failed,resampling_groups,seed,maximum_slope_design_leverage,LST_K_SE_per_10pp,LST_K_bootstrap_width_95_per_10pp,LST_K_cluster_sandwich_SE_per_10pp,M_W_m2_SE_per_10pp,M_W_m2_bootstrap_width_95_per_10pp,M_W_m2_cluster_sandwich_SE_per_10pp,source_run_id
phoenix,phoenix:29606,common_cells_all11,196090,1694,1643,132.00690241042216,0.0006731954837596112,120.22175640532294,0.004043449845273122,0.017141702328298036,910.2800669283376,0.0038927025236616575,7,194389,[],1000,1000,0,1694,20260921,0.14923022012721976,0.0227303952557734,0.0906477584347104,0.023421902117916164,0.16933359008135562,0.6866791579072524,0.17322637940788307,pooled_extension_20260921_phoenix
phoenix,phoenix:28085,registration_fixed_support_dx0_dy0,500032,3166,3156,360.6683469317387,0.0007212905312694762,311.52524711011836,0.0015732183287661264,0.006544582015818427,2163.5257994763233,0.001482445294514744,7,496859,[],1000,1000,0,3166,20260921,0.07819484515664783,0.038928729887280966,0.15264144399292867,0.04032626879305272,0.2966545432537235,1.1873045600200243,0.30867690074146015,pooled_extension_20260921_phoenix
phoenix,phoenix:28085,registration_dx-1_dy0,533703,3185,3175,407.82756923625715,0.0007641470428988729,352.38413300602366,0.0014696808881596597,0.006621361432550506,2155.8965866587955,0.001580694886139325,7,530511,[],1000,1000,0,3185,20260921,0.07781606499402588,0.03831361449993139,0.1515041224853153,0.037226704942997464,0.2947589435433359,1.168106115144842,0.28669596439990336,pooled_extension_20260921_phoenix
phoenix,phoenix:28085,registration_fixed_support_dx-1_dy0,500032,3166,3155,365.69694001289497,0.0007313470738130659,315.89698640059515,0.0015056110275808994,0.006653782901824697,2170.8243806647843,0.0015578439212352827,7,496859,[],1000,1000,0,3166,20260921,0.07881304052230731,0.03672528453769268,0.14273735418465994,0.03815887378820099,0.2813810001559158,1.1067077821104494,0.2948966869394973,pooled_extension_20260921_phoenix
phoenix,phoenix:28085,registration_dx1_dy0,533862,3192,3179,407.8703229576431,0.000763999541000564,352.1546273175482,0.0014331914204816169,0.0065064826040731865,2160.171183501298,0.0015421261542804987,7,530663,[],1000,1000,0,3192,20260921,0.0768278315408214,0.038198705113887836,0.1495335854623019,0.03974064568001502,0.28558160541493177,1.1167809392546602,0.3002885834313859,pooled_extension_20260921_phoenix
phoenix,phoenix:28085,registration_fixed_support_dx1_dy0,500032,3166,3156,365.96127279820513,0.000731875705551255,315.9172090527704,0.0015331289019550568,0.0066642879575568885,2170.004192403577,0.0015250332046315728,7,496859,[],1000,1000,0,3166,20260921,0.0776988220933914,0.03951892541017764,0.1559316174447778,0.040746090237970566,0.29810823772808176,1.1812562402076896,0.3077910594604192,pooled_extension_20260921_phoenix
phoenix,phoenix:28085,registration_dx0_dy-1,533630,3185,3175,407.9143108480942,0.0007644141274817649,351.93324749215753,0.0013935491470719668,0.006340683644043659,2163.1484853560783,0.0015618414274443425,7,530438,[],1000,1000,0,3185,20260921,0.07736467930009855,0.03759205972149527,0.14937403620861134,0.03837066934381833,0.2816242042080079,1.1086639642145943,0.28865784052927757,pooled_extension_20260921_phoenix
phoenix,phoenix:28085,registration_fixed_support_dx0_dy-1,500032,3166,3156,365.2652296903066,0.0007304837084232741,315.3179163808526,0.001362677682852547,0.006249835367656218,2176.473221470808,0.001434475806866576,7,496859,[],1000,1000,0,3166,20260921,0.07948049717423813,0.03763310162524786,0.14720074984916232,0.039333346024173065,0.2832550688999549,1.1151123694805136,0.2963724136010732,pooled_extension_20260921_phoenix
phoenix,phoenix:28085,registration_dx0_dy1,533794,3187,3179,407.9906999816371,0.000764322379010699,352.98597237609914,0.0015407900039041582,0.00658502973592659,2156.8314163842683,0.0015588981268093135,7,530600,[],1000,1000,0,3187,20260921,0.07914246704319172,0.040409770715618645,0.15973293157685098,0.03893651302179924,0.3108606875958639,1.2096446537554097,0.30352269174132446,pooled_extension_20260921_phoenix
phoenix,phoenix:28085,registration_fixed_support_dx0_dy1,500032,3166,3156,365.0639497400207,0.0007300811742848871,315.59834510399446,0.0016057757765838908,0.006492987707939072,2173.3924276855546,0.0015405876878729545,7,496859,[],1000,1000,0,3166,20260921,0.07954702509341177,0.03880261948393743,0.15089246884085727,0.03994689200647536,0.30117890470830694,1.1811591160499155,0.3118807612331188,pooled_extension_20260921_phoenix
phoenix,phoenix:28192,registration_fixed_support_dx0_dy0,514983,3216,3205,372.97619580012974,0.0007242495301789181,321.72368734122784,0.0015219788129597776,0.006338397850054894,2225.906428671049,0.0014335260528955754,7,511760,[],1000,1000,0,3216,20260921,0.078199222348943,0.03235283624853722,0.12569325266746723,0.03265551276656597,0.250342223064388,0.9767594370096351,0.2500235754986854,pooled_extension_20260921_phoenix
phoenix,phoenix:28192,registration_dx-1_dy0,549398,3237,3226,421.0229637993335,0.0007663350864024506,363.268883011526,0.0014245094170116338,0.006419828926265371,2220.668269241482,0.0015311539002552707,7,546154,[],1000,1000,0,3237,20260921,0.07782042742304648,0.03006395881096402,0.11926487348888437,0.030992996892745563,0.23710834879144088,0.897045371571144,0.23889793566463424,pooled_extension_20260921_phoenix
phoenix,phoenix:28192,registration_fixed_support_dx-1_dy0,514983,3216,3204,377.87576289727986,0.0007337635667532324,325.89628112816536,0.0014583344952759049,0.006449366254091623,2233.8589971699976,0.0015076350773211584,7,511760,[],1000,1000,0,3216,20260921,0.07881747468896826,0.031146585864370992,0.12126860204631695,0.03135852774739419,0.2404218607878109,0.9503120942329879,0.24178916508747245,pooled_extension_20260921_phoenix
phoenix,phoenix:28192,registration_dx1_dy0,549513,3243,3228,421.4600109236266,0.0007669700460655646,363.51536521336163,0.0013889312228166659,0.0063023620655756766,2224.8992178898093,0.001492401357864044,7,546263,[],1000,1000,0,3243,20260921,0.07682796767991393,0.03359795336029977,0.1356730657814862,0.03213451520887989,0.2506014201007014,1.0024777016200073,0.2450701421471375,pooled_extension_20260921_phoenix
phoenix,phoenix:28192,registration_fixed_support_dx1_dy0,514983,3216,3205,378.59750236492835,0.0007351650488752606,326.4826739115689,0.0014839036174352789,0.006446450400099731,2232.132441551626,0.001474133054603575,7,511760,[],1000,1000,0,3216,20260921,0.07769893230223564,0.03256458731115049,0.1283009570415452,0.03248846994393184,0.2497629469238364,0.9778486715674308,0.247338966619561,pooled_extension_20260921_phoenix
phoenix,phoenix:28192,registration_dx0_dy-1,549335,3234,3222,421.53561353682005,0.0007673561916441153,363.2041333824352,0.0013468989003956942,0.006142884381135371,2227.133826593672,0.0015113728213483767,7,546094,[],1000,1000,0,3234,20260921,0.0773682724605632,0.031180942388641063,0.12029974489351392,0.031341100152564104,0.23715917246297474,0.9116632212826161,0.2369039926644633,pooled_extension_20260921_phoenix
phoenix,phoenix:28192,registration_fixed_support_dx0_dy-1,514983,3216,3205,377.79563382576794,0.0007336079711869478,325.7026999589663,0.0013183013636774111,0.006049457954109512,2237.4026508090637,0.0013868983338276217,7,511760,[],1000,1000,0,3216,20260921,0.07948421525331965,0.031818558820341285,0.12258290092296198,0.03166593742034537,0.24106846103379903,0.9466765104093291,0.23995485337641032,pooled_extension_20260921_phoenix
