city,pass_id,variant,n_cells,n_blocks,contributing_blocks,within_block_Sxx,within_block_variance,residualized_canopy_Sxx,maximum_block_information_share,top_five_block_information_share,effective_information_blocks,maximum_raw_block_information_share,design_rank,residual_degrees_of_freedom,removed_context_terms,bootstrap_requested,bootstrap_estimable,bootstrap_failed,resampling_groups,seed,maximum_slope_design_leverage,LST_K_SE_per_10pp,LST_K_bootstrap_width_95_per_10pp,LST_K_cluster_sandwich_SE_per_10pp,M_W_m2_SE_per_10pp,M_W_m2_bootstrap_width_95_per_10pp,M_W_m2_cluster_sandwich_SE_per_10pp,acquisition_utc,local_mean_solar_hour,view_zenith_p95_deg,collection,frozen_25_degree_precision_exception
phoenix,phoenix:28024,registration_dx0_dy1,518106,3093,3080,391.9584333639254,0.0007565217028251466,339.05187117196726,0.0016018921360471089,0.006814684812696301,2099.454798360331,0.001622661700370832,7,515006,[],1000,999,1,3093,20260919,0.08817412022007182,0.031519983406484126,0.12314059382813158,0.031421129284497154,0.24289959209419157,0.9468691355589591,0.24146010174067728,2023-06-15T22:00:38.485000+00:00,14.546476422222224,14.95167350769043,002,True
phoenix,phoenix:28024,spatial_2km,519066,3100,3084,391.73002206165864,0.0007546824913626757,338.5182516157169,0.0015279560919974995,0.006731444909613904,2099.0649469448763,0.0016294465374087717,7,515959,[],1000,1000,0,854,20260919,0.08756833994531829,0.039235453570343894,0.15203231115347138,0.03938477048008656,0.30116223672478204,1.1851003417385364,0.3002788437133125,2023-06-15T22:00:38.485000+00:00,14.546476422222224,14.95167350769043,002,True
phoenix,phoenix:28706,paired_primary,556672,3246,3235,427.21563581488874,0.00076744588521587,368.5434725557295,0.001404186070454534,0.006190880125145156,2237.477390745374,0.001494100577170837,7,553419,[],1000,1000,0,3246,20260919,0.0772907830303458,0.03205498621667923,0.1245145042419411,0.032768165748967175,0.26153224456550184,1.0136729204747592,0.26744800225881143,2023-07-29T20:53:55.753000+00:00,13.43453197777778,10.859678268432615,002,True
phoenix,phoenix:28706,registration_dx-1_dy0,555565,3238,3228,427.02559047937115,0.0007686329961019343,368.3107318542269,0.0014052518085489513,0.006331371193926322,2236.683980028892,0.001509630728206967,7,552320,[],1000,1000,0,3238,20260919,0.07781575529138629,0.03160072425442028,0.1268709801273178,0.03168733532776254,0.25927501633471817,1.0359824447151968,0.2563527764146902,2023-07-29T20:53:55.753000+00:00,13.43453197777778,10.859678268432615,002,True
phoenix,phoenix:28706,registration_dx1_dy0,555696,3244,3231,427.3747606624295,0.0007690801457315321,368.3882502197376,0.0013697944775843507,0.006216979212180904,2241.395452863942,0.0014717469314586725,7,552445,[],1000,1000,0,3244,20260919,0.07682763057203526,0.03341996635748592,0.1377732620583212,0.03260396127396887,0.2695027094518405,1.0875626192305017,0.2681744657033642,2023-07-29T20:53:55.753000+00:00,13.43453197777778,10.859678268432615,002,True
phoenix,phoenix:28706,registration_dx0_dy-1,555476,3235,3225,427.4949049237332,0.0007696010357310365,368.1645149507299,0.0013286488093649988,0.006058972711188813,2243.699746739132,0.0014903042403362058,7,552234,[],1000,1000,0,3235,20260919,0.07736260546391613,0.0313880414919312,0.12240175275157772,0.03139343220951365,0.25943464104556874,0.9853816782208824,0.25847334188054844,2023-07-29T20:53:55.753000+00:00,13.43453197777778,10.859678268432615,002,True
phoenix,phoenix:28706,registration_dx0_dy1,555641,3239,3231,427.2361426559543,0.0007689067989150447,369.0685779304789,0.001472218200263215,0.00629529403766019,2237.824613332752,0.001488675405603891,7,552395,[],1000,1000,0,3239,20260919,0.07914224812703749,0.032743923863536986,0.13115814391811864,0.03256448967701523,0.26670045307049695,1.0680586912040013,0.2670472461926709,2023-07-29T20:53:55.753000+00:00,13.43453197777778,10.859678268432615,002,True
phoenix,phoenix:28706,spatial_2km,556672,3246,3235,427.21563581488874,0.00076744588521587,368.5434725557295,0.001404186070454534,0.006190880125145156,2237.477390745374,0.001494100577170837,7,553419,[],1000,1000,0,882,20260919,0.0772907830303458,0.043534429295251066,0.16896889065060594,0.0423615248834449,0.35412622346866107,1.386083386189144,0.3467087881693402,2023-07-29T20:53:55.753000+00:00,13.43453197777778,10.859678268432615,002,True
phoenix,phoenix:28828,paired_primary,556673,3246,3235,427.21566612845646,0.0007674445610411435,368.54454706004594,0.0014041829347902109,0.006190871743563658,2237.4831079627306,0.0014941004711552515,7,553420,[],1000,1000,0,3246,20260919,0.07729078307521872,0.0292010254488381,0.11559168005945808,0.03027479272721923,0.21814851127069285,0.8313457050401531,0.2218841983688539,2023-08-06T17:40:07.586000+00:00,10.20453197777778,19.06538200378418,002,True
phoenix,phoenix:28828,registration_dx-1_dy0,555566,3238,3228,427.02561781281764,0.0007686316617878301,368.3122101483032,0.0014052478531989569,0.0063313607236680485,2236.6926421519865,0.001509630631577142,7,552321,[],1000,1000,0,3238,20260919,0.07781575531922136,0.029334424131460965,0.11459012795335899,0.029875284544086413,0.2163085034559443,0.8487581876293948,0.21567961969103655,2023-08-06T17:40:07.586000+00:00,10.20453197777778,19.06538200378418,002,True
