city,pass_id,variant,n_cells,n_blocks,contributing_blocks,within_block_Sxx,within_block_variance,residualized_canopy_Sxx,maximum_block_information_share,top_five_block_information_share,effective_information_blocks,maximum_raw_block_information_share,design_rank,residual_degrees_of_freedom,removed_context_terms,bootstrap_requested,bootstrap_estimable,bootstrap_failed,resampling_groups,seed,maximum_slope_design_leverage,LST_K_SE_per_10pp,LST_K_bootstrap_width_95_per_10pp,LST_K_cluster_sandwich_SE_per_10pp,M_W_m2_SE_per_10pp,M_W_m2_bootstrap_width_95_per_10pp,M_W_m2_cluster_sandwich_SE_per_10pp,acquisition_utc,apparent_local_solar_hour,view_zenith_p95_deg,collection,frozen_25_degree_precision_exception
phoenix,phoenix:28970,spatial_4km,446517,2999,2970,330.0874482930065,0.0007392494536445567,287.3990426747361,0.0018017822542177944,0.007975368905004377,1864.7630576662505,0.0019337394722165658,7,443511,[],1000,1000,0,252,20260921,0.08100812638892808,0.07133786323623632,0.2752987935475484,0.06908373033712088,0.6307814099719788,2.354219121045956,0.6177371343754738,2023-08-15T21:49:20.544000+00:00,14.27822530655253,19.12088394165039,002,True
phoenix,phoenix:28970,spatial_8km,446517,2999,2970,330.0874482930065,0.0007392494536445567,287.3990426747361,0.0018017822542177944,0.007975368905004377,1864.7630576662505,0.0019337394722165658,7,443511,[],1000,1000,0,79,20260921,0.08100812638892813,0.08151448705813746,0.3164928251419654,0.08178963820376939,0.8145442413389428,3.1938175327315594,0.8351907821592095,2023-08-15T21:49:20.544000+00:00,14.27822530655253,19.12088394165039,002,True
phoenix,phoenix:29092,paired_primary,553858,3244,3233,424.6481811861845,0.000766709483633322,366.6015073749681,0.0014114771819280436,0.00622549398736583,2231.252890054083,0.0015031340208839165,7,550607,[],1000,1000,0,3244,20260921,0.07729083489221605,0.028581498389279657,0.11090173972275341,0.02806033395925819,0.21057550117393342,0.8079934957207611,0.21119144555528516,2023-08-23T18:39:51.131000+00:00,11.150395724554814,24.36393165588379,002,True
phoenix,phoenix:29092,spatial_2km,553858,3244,3233,424.6481811861845,0.000766709483633322,366.6015073749681,0.0014114771819280436,0.00622549398736583,2231.252890054083,0.0015031340208839165,7,550607,[],1000,1000,0,882,20260921,0.07729083489221605,0.03337271832622744,0.13072624444274317,0.03342665849714268,0.24891756611184987,0.9540132537176564,0.25125083238131796,2023-08-23T18:39:51.131000+00:00,11.150395724554814,24.36393165588379,002,True
phoenix,phoenix:29092,spatial_4km,553858,3244,3233,424.6481811861845,0.000766709483633322,366.6015073749681,0.0014114771819280436,0.00622549398736583,2231.252890054083,0.0015031340208839165,7,550607,[],1000,1000,0,253,20260921,0.07729083489221605,0.0404640757706571,0.1575469476362118,0.040735426479671336,0.31440775772219615,1.2460027466450594,0.3155734944924289,2023-08-23T18:39:51.131000+00:00,11.150395724554814,24.36393165588379,002,True
phoenix,phoenix:29092,spatial_8km,553858,3244,3233,424.6481811861845,0.000766709483633322,366.6015073749681,0.0014114771819280436,0.00622549398736583,2231.252890054083,0.0015031340208839165,7,550607,[],1000,1000,0,79,20260921,0.07729083489221622,0.04503224571293096,0.17980115107000694,0.044241847217223226,0.363459287005545,1.4622979939603526,0.3609805461076864,2023-08-23T18:39:51.131000+00:00,11.150395724554814,24.36393165588379,002,True
phoenix,phoenix:29545,paired_primary,341920,2282,2258,238.61968029141653,0.0006978816105855654,209.62130607213712,0.0024863627325032228,0.010465497705391406,1389.7164957362027,0.0023510977970659605,7,339631,[],1000,1000,0,2282,20260921,0.1370231650162142,0.023352708521562092,0.08791676868888632,0.023110799676712902,0.16356919698765693,0.6152579665968592,0.15987192475048037,2023-09-21T23:20:50.387000+00:00,16.001088348287688,21.683624267578125,002,True
phoenix,phoenix:29545,spatial_2km,341920,2282,2258,238.61968029141653,0.0006978816105855654,209.62130607213712,0.0024863627325032228,0.010465497705391406,1389.7164957362027,0.0023510977970659605,7,339631,[],1000,1000,0,662,20260921,0.13702316501621414,0.028470706086155307,0.11221736530239412,0.02819031651484847,0.20045697554786204,0.7714230961641144,0.19993059787219808,2023-09-21T23:20:50.387000+00:00,16.001088348287688,21.683624267578125,002,True
phoenix,phoenix:29545,spatial_4km,341920,2282,2258,238.61968029141653,0.0006978816105855654,209.62130607213712,0.0024863627325032228,0.010465497705391406,1389.7164957362027,0.0023510977970659605,7,339631,[],1000,1000,0,204,20260921,0.13702316501621414,0.0332169970568266,0.13323644099874088,0.034174088649807394,0.24571290803010695,0.9570422481686789,0.25198670622230257,2023-09-21T23:20:50.387000+00:00,16.001088348287688,21.683624267578125,002,True
phoenix,phoenix:29545,spatial_8km,341920,2282,2258,238.61968029141653,0.0006978816105855654,209.62130607213712,0.0024863627325032228,0.010465497705391406,1389.7164957362027,0.0023510977970659605,7,339631,[],1000,999,1,70,20260921,0.13702316501621414,0.04426119831669516,0.1709647602483444,0.04382777143749373,0.33711935118831937,1.2779555042067274,0.336311124873134,2023-09-21T23:20:50.387000+00:00,16.001088348287688,21.683624267578125,002,True
phoenix,phoenix:29606,paired_primary,556675,3246,3235,427.2156453163335,0.0007674417664100839,368.5442694175049,0.0014041845695658888,0.0061908763314409716,2237.482371048841,0.0014941005439414498,7,553422,[],1000,1000,0,3246,20260921,0.0772907830202861,0.02161143770800628,0.08398561728080423,0.02255048621433148,0.16244735084261946,0.6263828723314555,0.16932986262657615,2023-09-25T21:45:42.930000+00:00,14.439583795788078,24.97671127319336,002,True
phoenix,phoenix:29606,spatial_2km,556675,3246,3235,427.2156453163335,0.0007674417664100839,368.5442694175049,0.0014041845695658888,0.0061908763314409716,2237.482371048841,0.0014941005439414498,7,553422,[],1000,1000,0,882,20260921,0.0772907830202861,0.02837924544744002,0.11364776213328986,0.027944312005114498,0.21731899265179733,0.8595486570872639,0.21336083328027855,2023-09-25T21:45:42.930000+00:00,14.439583795788078,24.97671127319336,002,True
phoenix,phoenix:29606,spatial_4km,556675,3246,3235,427.2156453163335,0.0007674417664100839,368.5442694175049,0.0014041845695658888,0.0061908763314409716,2237.482371048841,0.0014941005439414498,7,553422,[],1000,1000,0,253,20260921,0.0772907830202861,0.03217956538429401,0.130713497003627,0.032565007404514165,0.2501356997552431,0.9995877840451719,0.2518071998781389,2023-09-25T21:45:42.930000+00:00,14.439583795788078,24.97671127319336,002,True
phoenix,phoenix:29606,spatial_8km,556675,3246,3235,427.2156453163335,0.0007674417664100839,368.5442694175049,0.0014041845695658888,0.0061908763314409716,2237.482371048841,0.0014941005439414498,7,553422,[],1000,1000,0,79,20260921,0.07729078302028626,0.03771252051738194,0.15246902899072423,0.038066549521280794,0.3012645567227066,1.1993056688703074,0.30209288471167683,2023-09-25T21:45:42.930000+00:00,14.439583795788078,24.97671127319336,002,True
