city,pass_id,variant,n_cells,n_blocks,contributing_blocks,within_block_Sxx,within_block_variance,residualized_canopy_Sxx,maximum_block_information_share,top_five_block_information_share,effective_information_blocks,maximum_raw_block_information_share,design_rank,residual_degrees_of_freedom,removed_context_terms,bootstrap_requested,bootstrap_estimable,bootstrap_failed,resampling_groups,seed,maximum_slope_design_leverage,LST_K_SE_per_10pp,LST_K_bootstrap_width_95_per_10pp,LST_K_cluster_sandwich_SE_per_10pp,M_W_m2_SE_per_10pp,M_W_m2_bootstrap_width_95_per_10pp,M_W_m2_cluster_sandwich_SE_per_10pp,acquisition_utc,local_solar_hour_inherited_metadata,view_zenith_p95_deg,collection,frozen_25_degree_precision_exception
atlanta,atlanta:27896,registration_dx0_dy1,511290,7564,7501,29808.744022649968,0.05830105032887396,12814.180186786723,0.001008783991624104,0.00459002382728299,4911.81859268252,0.00071117718613978,7,503719,[],1000,1000,0,7564,20260919,0.0011938710150372804,0.004126245634745278,0.016000451093910767,0.004202475269349999,0.025904417809461063,0.10192078052164488,0.026203575510761124,2023-06-07T15:39:07.020000+00:00,10.055194399,19.7119617462,002,True
atlanta,atlanta:27896,spatial_2km,510119,7557,7501,29378.58761517817,0.0575916357069197,12208.404707411017,0.0010795010528227471,0.004884562661900468,4800.166724858053,0.0007393164177189833,7,502555,[],1000,1000,0,2050,20260919,0.001178031236290038,0.004898177971008705,0.019260102524789158,0.005121329825859111,0.030296098215304195,0.12009343029084896,0.03208915977489333,2023-06-07T15:39:07.020000+00:00,10.055194399,19.7119617462,002,True
atlanta,atlanta:27916,paired_primary,481257,7245,7178,27277.931156980114,0.05668059094616829,11473.523498671253,0.0011477883364683819,0.005187928444843383,4521.740020072154,0.0007962507137473618,7,474005,[],1000,1000,0,7245,20260919,0.0012348943809312046,0.0022975879629280344,0.008892429452347708,0.0023539517855744874,0.012499590494035505,0.048358450465501024,0.012657326495064836,2023-06-08T22:58:37.519000+00:00,17.3761254026,10.7264442444,002,True
atlanta,atlanta:27916,registration_dx-1_dy0,481971,7240,7181,27665.628461034652,0.05740102300975505,11956.786324507486,0.0011723124015750397,0.005351755031834555,4571.419666033914,0.000751367984775952,7,474724,[],1000,1000,0,7240,20260919,0.0013321555666456436,0.002258507610819039,0.008759637268578688,0.0022997417566510913,0.012118918658900501,0.04696365192155838,0.012340934329921031,2023-06-08T22:58:37.519000+00:00,17.3761254026,10.7264442444,002,True
atlanta,atlanta:27916,registration_dx1_dy0,482173,7243,7188,27634.52591306311,0.0573124706548544,12003.596017932248,0.0010580790742334679,0.004768041883580862,4602.765561149134,0.0008121720824054061,7,474923,[],1000,1000,0,7243,20260919,0.001272812005956988,0.002277490335107025,0.008925743020066546,0.0022564048888505106,0.011835835502620875,0.04737188652494073,0.01187664210884258,2023-06-08T22:58:37.519000+00:00,17.3761254026,10.7264442444,002,True
atlanta,atlanta:27916,registration_dx0_dy-1,481617,7245,7180,27641.704895933,0.057393540709594966,11980.23828245102,0.0010926759098296517,0.005159288592417042,4570.250140263559,0.0008099305581832782,7,474365,[],1000,1000,0,7245,20260919,0.0012342737705397216,0.0023196915357483307,0.008826670516402846,0.0023167451750433893,0.01242244476048581,0.048179413172320884,0.01238486315182115,2023-06-08T22:58:37.519000+00:00,17.3761254026,10.7264442444,002,True
atlanta,atlanta:27916,registration_dx0_dy1,482286,7247,7170,27690.42397855968,0.05741494461493736,12033.930391459446,0.0010726670671137232,0.004943095397867241,4623.090968502803,0.0007655823079055605,7,475032,[],1000,1000,0,7247,20260919,0.0012567259396721266,0.0021908299938729133,0.008467111800400107,0.0022451051973699284,0.01163832802069257,0.04528747124177307,0.011853512320990973,2023-06-08T22:58:37.519000+00:00,17.3761254026,10.7264442444,002,True
atlanta,atlanta:27916,spatial_2km,481257,7245,7178,27277.931156980114,0.05668059094616829,11473.523498671253,0.0011477883364683819,0.005187928444843383,4521.740020072154,0.0007962507137473618,7,474005,[],1000,1000,0,1991,20260919,0.0012348943809312048,0.002731171587659828,0.010838550794982943,0.0027782285759983794,0.014712352491503678,0.05781597625746687,0.015134358198792728,2023-06-08T22:58:37.519000+00:00,17.3761254026,10.7264442444,002,True
atlanta,atlanta:28145,paired_primary,253835,5016,4894,13999.489523025903,0.05515192752388718,5819.422863934236,0.0021876705094770275,0.008011638467322486,2667.613237991486,0.0012750508193605174,7,248812,[],1000,1000,0,5016,20260919,0.002872033760769536,0.008929117018884858,0.03501255186028382,0.00872073915429686,0.05587291498469568,0.21272031722709683,0.055556549039610104,2023-06-23T17:12:53.787000+00:00,11.5620587514,20.5109672546,002,True
atlanta,atlanta:28145,registration_dx-1_dy0,254484,5019,4895,14173.48783932134,0.055695005734432576,6009.967025302436,0.0020849159682317926,0.007532752196351095,2716.2992493625334,0.001221502171449909,7,249458,[],1000,1000,0,5019,20260919,0.0028752653872702897,0.008558783792436115,0.03351236279746911,0.008546952206569933,0.05469402994526436,0.21025946737066148,0.054368808658833194,2023-06-23T17:12:53.787000+00:00,11.5620587514,20.5109672546,002,True
